,user_id,date,direction,internal,operator_id,is_missed_call,calls_count,call_duration,total_call_duration
70,166377,2019-08-21 00:00:00+03:00,out,False,880028.0,False,19,3496,3613
71,166377,2019-08-21 00:00:00+03:00,out,False,880026.0,False,23,2692,2844
72,166377,2019-08-22 00:00:00+03:00,out,False,880026.0,True,6,0,55
73,166377,2019-08-22 00:00:00+03:00,out,False,880026.0,False,23,2979,3062
74,166377,2019-08-22 00:00:00+03:00,out,False,880028.0,True,18,0,710
75,166377,2019-08-22 00:00:00+03:00,out,False,880028.0,False,15,1866,1992
76,166377,2019-08-22 00:00:00+03:00,in,False,880020.0,False,1,33,49
77,166377,2019-08-22 00:00:00+03:00,in,False,,True,1,0,1
78,166377,2019-08-22 00:00:00+03:00,out,False,880026.0,True,6,0,55
79,166377,2019-08-23 00:00:00+03:00,in,False,880026.0,False,1,45,52
80,166377,2019-08-23 00:00:00+03:00,out,False,880026.0,True,11,0,54
81,166377,2019-08-23 00:00:00+03:00,in,False,,True,2,0,47
82,166377,2019-08-23 00:00:00+03:00,in,False,880028.0,False,1,41,54
83,166377,2019-08-23 00:00:00+03:00,out,False,880028.0,False,24,2242,2413
84,166377,2019-08-23 00:00:00+03:00,out,False,880026.0,False,43,3435,3654
85,166377,2019-08-23 00:00:00+03:00,out,False,880028.0,True,24,0,597
86,166377,2019-08-23 00:00:00+03:00,out,False,880026.0,False,43,3435,3654
87,166377,2019-08-23 00:00:00+03:00,in,False,880026.0,False,1,45,52
88,166377,2019-08-24 00:00:00+03:00,in,False,,True,2,0,35
89,166377,2019-08-26 00:00:00+03:00,out,True,880022.0,True,3,0,0
90,166377,2019-08-26 00:00:00+03:00,in,False,880028.0,False,2,285,302
91,166377,2019-08-26 00:00:00+03:00,out,False,880026.0,False,28,3298,3395
92,166377,2019-08-26 00:00:00+03:00,out,False,880028.0,True,4,0,241
93,166377,2019-08-26 00:00:00+03:00,out,False,880022.0,False,3,1079,1093
94,166377,2019-08-26 00:00:00+03:00,out,False,880028.0,False,5,426,487
95,166377,2019-08-26 00:00:00+03:00,out,False,880026.0,True,2,0,46
96,166377,2019-08-27 00:00:00+03:00,out,False,880026.0,False,22,3242,3329
97,166377,2019-08-27 00:00:00+03:00,out,False,880026.0,True,5,0,119
98,166377,2019-08-27 00:00:00+03:00,out,False,880028.0,True,27,0,983
99,166377,2019-08-27 00:00:00+03:00,out,False,880028.0,False,20,2784,2979
100,166377,2019-08-27 00:00:00+03:00,out,False,880028.0,False,20,2784,2979
101,166377,2019-08-28 00:00:00+03:00,out,False,880026.0,True,11,0,129
102,166377,2019-08-28 00:00:00+03:00,out,False,880026.0,False,16,1783,1868
103,166377,2019-08-28 00:00:00+03:00,out,False,880028.0,False,19,1485,1777
