,user_id,tariff_plan,date_start
198,167872,C,2019-10-03
199,167569,C,2019-09-20
200,166895,C,2019-08-23
201,167733,C,2019-09-27
202,168031,C,2019-10-10
203,168016,C,2019-10-09
204,167870,C,2019-10-03
205,167501,C,2019-09-18
206,168101,C,2019-10-14
207,168011,C,2019-10-09
208,167921,C,2019-10-04
209,168064,C,2019-10-11
210,167976,C,2019-10-08
211,167734,C,2019-09-27
212,167954,C,2019-10-07
213,168042,C,2019-10-10
214,168004,C,2019-10-09
215,166482,C,2019-08-05
216,168022,C,2019-10-09
217,167792,C,2019-09-30
218,168010,C,2019-10-09
219,168019,C,2019-10-09
220,167216,C,2019-09-06
221,167027,C,2019-08-28
222,167943,C,2019-10-07
223,167917,C,2019-10-04
224,167941,C,2019-10-07
225,167552,C,2019-09-20
226,167936,C,2019-10-07
227,167700,C,2019-09-26
228,167852,C,2019-10-02
229,167622,C,2019-09-23
230,167575,C,2019-09-20
231,167798,C,2019-10-01
232,167927,C,2019-10-07
233,167878,C,2019-10-03
234,167827,C,2019-10-02
235,166940,C,2019-08-26
236,167335,C,2019-09-12
237,167888,C,2019-10-04
238,167906,C,2019-10-04
239,167816,C,2019-10-01
240,167499,C,2019-09-18
241,167665,C,2019-09-24
242,167709,C,2019-09-26
243,167805,C,2019-10-01
244,166947,C,2019-08-26
245,167729,C,2019-09-26
246,167630,C,2019-09-24
247,166408,C,2019-08-02
248,166574,C,2019-08-09
249,168317,C,2019-10-21
250,167571,C,2019-09-20
251,167641,C,2019-09-24
252,166629,C,2019-08-12
253,168271,C,2019-10-18
254,167535,C,2019-09-19
255,167781,C,2019-09-30
256,167598,C,2019-09-23
257,166869,C,2019-08-22
258,167660,C,2019-09-24
259,167545,C,2019-09-19
260,166729,C,2019-08-16
261,167691,C,2019-09-25
262,167682,C,2019-09-25
263,167039,C,2019-08-29
264,167466,C,2019-09-17
265,167672,C,2019-09-25
266,167664,C,2019-09-24
267,167650,C,2019-09-24
268,167567,C,2019-09-20
269,167644,C,2019-09-24
